method,backbone,dataset,noise_name,ece_type,n_runs,ece_mean,ece_std,ece_mean_percent,ece_std_pp
Ours,clip_vit_b16,cifar100,symmetric_0.6,Raw,3,0.10744792161782574,0.0014700602090157926,10.744792161782573,0.14700602090157924
Ours,clip_vit_b16,cifar100,symmetric_0.6,Calibrated,3,0.0793735953333477,0.002063185865318275,7.93735953333477,0.2063185865318275
Ours,clip_vit_l14,cifar10,human_worse_label,Raw,3,0.022446139898896166,0.0005517485144020664,2.2446139898896167,0.055174851440206646
Ours,clip_vit_l14,cifar10,human_worse_label,Calibrated,3,0.021359468327959333,0.0005690562904834154,2.1359468327959332,0.05690562904834154
Ours,clip_vit_l14,cifar10,instance_0.4,Raw,3,0.0209858927235007,0.0013610058269479125,2.09858927235007,0.13610058269479125
Ours,clip_vit_l14,cifar10,instance_0.4,Calibrated,3,0.017562476371228666,0.0003745296498209467,1.7562476371228666,0.03745296498209467
Ours,clip_vit_l14,cifar10,pairflip_0.3,Raw,3,0.013482389438152298,0.0002221467073863001,1.3482389438152298,0.02221467073863001
Ours,clip_vit_l14,cifar10,pairflip_0.3,Calibrated,3,0.02091765026400483,0.0008080956092573981,2.0917650264004832,0.0808095609257398
Ours,clip_vit_l14,cifar10,symmetric_0.6,Raw,3,0.04513355118334287,0.0010470769174509668,4.513355118334287,0.10470769174509668
Ours,clip_vit_l14,cifar10,symmetric_0.6,Calibrated,3,0.012956947479645367,0.00026184289634230927,1.2956947479645367,0.026184289634230928
Ours,clip_vit_l14,cifar100,human_noisy_label,Raw,3,0.022782297024006637,0.0012573336989297542,2.2782297024006635,0.12573336989297543
Ours,clip_vit_l14,cifar100,human_noisy_label,Calibrated,3,0.05063244115759924,0.0016865370995408151,5.0632441157599235,0.16865370995408152
Ours,clip_vit_l14,cifar100,instance_0.4,Raw,3,0.052918653721859,0.0016910294706747359,5.2918653721858995,0.16910294706747359
Ours,clip_vit_l14,cifar100,instance_0.4,Calibrated,3,0.0166708622798323,0.002833058459465819,1.6670862279832301,0.2833058459465819
Ours,clip_vit_l14,cifar100,pairflip_0.3,Raw,3,0.0171402957518895,0.0009777023505454655,1.7140295751889498,0.09777023505454654
Ours,clip_vit_l14,cifar100,pairflip_0.3,Calibrated,3,0.018752837870518332,0.0011384650385284588,1.8752837870518333,0.11384650385284588
Ours,clip_vit_l14,cifar100,symmetric_0.6,Raw,3,0.05533883207254103,0.001989550675011797,5.533883207254103,0.1989550675011797
Ours,clip_vit_l14,cifar100,symmetric_0.6,Calibrated,3,0.015976288150871733,0.0008511893074964196,1.5976288150871734,0.08511893074964197
Ours,dinov2_vit_b14,cifar10,human_worse_label,Raw,3,0.0586231947605808,0.00032132913006224274,5.86231947605808,0.03213291300622428
Ours,dinov2_vit_b14,cifar10,human_worse_label,Calibrated,3,0.0371984834487239,0.00033264027982542627,3.7198483448723905,0.033264027982542625
Ours,dinov2_vit_b14,cifar10,instance_0.4,Raw,3,0.05735585869302346,0.00014473968812780738,5.735585869302346,0.014473968812780737
Ours,dinov2_vit_b14,cifar10,instance_0.4,Calibrated,3,0.027244856148461467,0.0007512888187368139,2.7244856148461465,0.0751288818736814
Ours,dinov2_vit_b14,cifar10,pairflip_0.3,Raw,3,0.04353239412059381,0.0005495315056259974,4.353239412059381,0.05495315056259974
Ours,dinov2_vit_b14,cifar10,pairflip_0.3,Calibrated,3,0.025382599557439368,0.0001939058408825968,2.538259955743937,0.01939058408825968
Ours,dinov2_vit_b14,cifar10,symmetric_0.6,Raw,3,0.0950838111430406,0.00034934364826815336,9.50838111430406,0.034934364826815334
Ours,dinov2_vit_b14,cifar10,symmetric_0.6,Calibrated,3,0.034772071857253666,0.0003247311004426246,3.4772071857253666,0.032473110044262454
Ours,dinov2_vit_b14,cifar100,human_noisy_label,Raw,3,0.0679013228283574,0.0003467290773333691,6.7901322828357396,0.03467290773333691
Ours,dinov2_vit_b14,cifar100,human_noisy_label,Calibrated,3,0.03880353294362617,0.00018391293119311692,3.8803532943626173,0.018391293119311692
Ours,dinov2_vit_b14,cifar100,instance_0.4,Raw,3,0.1028789331224436,0.0020282862865265015,10.28789331224436,0.20282862865265017
Ours,dinov2_vit_b14,cifar100,instance_0.4,Calibrated,3,0.0219940253604203,0.0022875608714736247,2.19940253604203,0.22875608714736248
Ours,dinov2_vit_b14,cifar100,pairflip_0.3,Raw,3,0.07500056837933754,0.0006341416888469432,7.500056837933753,0.06341416888469432
Ours,dinov2_vit_b14,cifar100,pairflip_0.3,Calibrated,3,0.028556069263939998,0.0009925588766420631,2.8556069263939996,0.09925588766420632
Ours,dinov2_vit_b14,cifar100,symmetric_0.6,Raw,3,0.16614267087187617,0.0015050783838981524,16.614267087187617,0.15050783838981524
Ours,dinov2_vit_b14,cifar100,symmetric_0.6,Calibrated,3,0.020856375949208934,0.0017512684838533925,2.085637594920893,0.17512684838533926
Ours,vit_b16_imagenet,cifar10,human_worse_label,Raw,3,0.07506176288475587,0.00010875486356201791,7.506176288475587,0.01087548635620179
Ours,vit_b16_imagenet,cifar10,human_worse_label,Calibrated,3,0.03190243046184377,0.00019142844432492806,3.190243046184377,0.019142844432492805
Ours,vit_b16_imagenet,cifar10,instance_0.4,Raw,3,0.0805978202760219,0.0009435403561355728,8.05978202760219,0.09435403561355728
Ours,vit_b16_imagenet,cifar10,instance_0.4,Calibrated,3,0.0275158090849717,0.0008530536717070503,2.7515809084971696,0.08530536717070503
