method,backbone,dataset,noise_name,seed,ece_type,ece,source_file
Ours,dinov2_vit_b14,cifar10,instance_0.4,3,Raw,0.0572497678354382,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,instance_0.4,1,Calibrated,0.0279561151623726,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,instance_0.4,2,Calibrated,0.0273193636551499,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,instance_0.4,3,Calibrated,0.0264590896278619,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,pairflip_0.3,1,Raw,0.0429177200257778,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,pairflip_0.3,2,Raw,0.043976174172759,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,pairflip_0.3,3,Raw,0.0437032881632446,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,pairflip_0.3,1,Calibrated,0.0251668746873735,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,pairflip_0.3,2,Calibrated,0.0254385335758328,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,pairflip_0.3,3,Calibrated,0.0255423904091118,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,symmetric_0.6,1,Raw,0.0952271411001681,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,symmetric_0.6,2,Raw,0.0953386938288808,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,symmetric_0.6,3,Raw,0.0946855985000729,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,symmetric_0.6,1,Calibrated,0.0348554036483168,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,symmetric_0.6,2,Calibrated,0.0344137955591082,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar10,symmetric_0.6,3,Calibrated,0.035047016364336,stage2/dinov2_vit_b14/cifar10/runs.csv
Ours,dinov2_vit_b14,cifar100,human_noisy_label,1,Raw,0.0678237734366208,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,human_noisy_label,2,Raw,0.0682802601646632,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,human_noisy_label,3,Raw,0.0675999348837882,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,human_noisy_label,1,Calibrated,0.038750349349901,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,human_noisy_label,2,Calibrated,0.0390081769667565,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,human_noisy_label,3,Calibrated,0.038652072514221,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,instance_0.4,1,Raw,0.1044225444713607,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,instance_0.4,2,Raw,0.1036325432151555,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,instance_0.4,3,Raw,0.1005817116808146,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,instance_0.4,1,Calibrated,0.0246084182236343,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,instance_0.4,2,Calibrated,0.0203602600872516,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,instance_0.4,3,Calibrated,0.021013397770375,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,pairflip_0.3,1,Raw,0.0750826911482959,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,pairflip_0.3,2,Raw,0.0755896479073911,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,pairflip_0.3,3,Raw,0.0743293660823256,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,pairflip_0.3,1,Calibrated,0.0289829148363321,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,pairflip_0.3,2,Calibrated,0.0292638007897883,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,pairflip_0.3,3,Calibrated,0.0274214921656996,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,symmetric_0.6,1,Raw,0.1644087372967973,stage2/dinov2_vit_b14/cifar100/runs.csv
Ours,dinov2_vit_b14,cifar100,symmetric_0.6,2,Raw,0.1669078206196427,stage2/dinov2_vit_b14/cifar100/runs.csv
